PlayerID;Position
12723;Centre-Back
12730;Defensive Midfield
12730;Right-Back
12749;Right Midfield
12749;Second Striker
12765;Defensive Midfield
12812;Attacking Midfield
12812;Defensive Midfield
12822;Defensive Midfield
12822;Right Midfield
12834;Right-Back
12836;Right-Back
12840;Left Winger
12840;Second Striker
12841;Left Winger
12847;Centre-Back
12992;Centre-Back
13001;Centre-Back
13012;Defensive Midfield
13050;Left Winger
13050;Second Striker
13051;Defensive Midfield
13094;Centre-Forward
13097;Right Midfield
13120;Central Midfield
13120;Left Winger
13139;Left Midfield
13139;Left Winger
13152;Centre-Forward
13159;Defensive Midfield
13159;Right Midfield
13160;Centre-Back
13160;Left Midfield
13161;Right-Back
13177;Attacking Midfield
13177;Left Winger
13208;Left Winger
13208;Right Winger
13211;Left-Back
13211;Right-Back
13331;Central Midfield
13333;Attacking Midfield
13333;Defensive Midfield
13348;Left Winger
13348;Second Striker
13370;Centre-Back
13383;Defensive Midfield
13398;Central Midfield
13398;Left-Back
13519;Centre-Back
13525;Centre-Back
13525;Left-Back
13535;Attacking Midfield
13558;Left Midfield
13605;Right Midfield
13605;Right-Back
13725;Right-Back
13808;Right Midfield
13822;Right Midfield
13822;Right Winger
13823;Defensive Midfield
13905;Right-Back
13917;Central Midfield
13952;Left Winger
13952;Second Striker
13960;Centre-Back
13962;Attacking Midfield
13962;Defensive Midfield
13975;Centre-Back
13995;Sweeper
14026;Central Midfield
14026;Right Midfield
14047;Attacking Midfield
14047;Right Winger
14052;Centre-Back
14052;Right-Back
14062;Central Midfield
14062;Right Midfield
14063;Left-Back
14107;Left Winger
14107;Second Striker
14224;Left Winger
14224;Right Winger
14329;Centre-Forward
14329;Right Winger
14382;Attacking Midfield
14382;Defensive Midfield
14515;Right Midfield
14515;Right Winger
14829;Central Midfield
14829;Centre-Back
14834;Right-Back
14892;Centre-Back
14894;Centre-Forward
14894;Defensive Midfield
14906;Centre-Back
14921;Left Winger
14921;Right Winger
14933;Centre-Forward
14933;Left Midfield
14944;Centre-Back
14945;Left Winger
14945;Right Winger
14960;Left-Back
14960;Right-Back
14970;Centre-Back
14970;Right Midfield
15005;Left Winger
15005;Right Winger
15020;Left Midfield
15031;Centre-Back
15033;Attacking Midfield
15033;Right Winger
15036;Right Midfield
15059;Right Winger
15084;Second Striker
15091;Left Midfield
15098;Centre-Back
15098;Defensive Midfield
15109;Sweeper
15117;Attacking Midfield
15117;Defensive Midfield
15133;Attacking Midfield
15152;Attacking Midfield
15173;Defensive Midfield
15201;Defensive Midfield
15209;Attacking Midfield
15209;Left Midfield
15306;Attacking Midfield
15306;Right Winger
15328;Attacking Midfield
15328;Right Winger
15372;Attacking Midfield
15372;Defensive Midfield
15373;Attacking Midfield
15373;Second Striker
15435;Right-Back
15445;Attacking Midfield
15445;Defensive Midfield
15453;Left-Back
15453;Right Midfield
15455;Right Midfield
15455;Right Winger
15478;Attacking Midfield
15500;Defensive Midfield
15500;Left-Back
15550;Right Midfield
15550;Second Striker
15561;Attacking Midfield
15561;Left Midfield
15579;Centre-Back
15579;Right-Back
15629;Attacking Midfield
15646;Central Midfield
15646;Right Midfield
15694;Left Midfield
15694;Right Midfield
15756;Left-Back
15764;Central Midfield
15764;Centre-Back
15777;Right Midfield
15777;Second Striker
15821;Second Striker
15855;Centre-Back
15858;Centre-Forward
15858;Right Winger
15870;Left Winger
15870;Right Winger
15876;Right-Back
15878;Right Midfield
15878;Right-Back
15965;Right Midfield
15982;Attacking Midfield
16009;Left Midfield
16009;Right Midfield
16019;Defensive Midfield
16019;Right-Back
16119;Centre-Forward
16119;Right-Back
16133;Attacking Midfield
16133;Central Midfield
16160;Centre-Back
16167;Left Winger
16224;Right Winger
16482;Right Midfield
16487;Defensive Midfield
16487;Left-Back
16510;Central Midfield
16610;Centre-Back
16675;Centre-Forward
16713;Sweeper
16743;Left Winger
16743;Left-Back
16745;Second Striker
16761;Central Midfield
16874;Right-Back
16901;Centre-Back
16901;Left Midfield
16907;Right Winger
16949;Centre-Forward
16949;Right Winger
16951;Left Winger
16951;Right Winger
16975;Centre-Back
16975;Right Midfield
16989;Defensive Midfield
17064;Sweeper
17174;Central Midfield
17174;Right-Back
17212;Defensive Midfield
17214;Left-Back
17216;Right-Back
17221;Attacking Midfield
17221;Left Midfield
17277;Defensive Midfield
17397;Sweeper
17409;Centre-Back
17851;Centre-Back
17851;Defensive Midfield
17947;Left Midfield
17947;Left Winger
17979;Central Midfield
17979;Left Midfield
18014;Central Midfield
18014;Right Midfield
18324;Attacking Midfield
18324;Defensive Midfield
18329;Central Midfield
18484;Defensive Midfield
18517;Centre-Back
18517;Defensive Midfield
18628;Defensive Midfield
18873;Defensive Midfield
18873;Left Midfield
19011;Left Midfield
19244;Right-Back
19290;Centre-Back
19350;Central Midfield
19350;Centre-Back
19390;Right Midfield
19435;Centre-Back
19435;Right-Back
19440;Right Midfield
19440;Second Striker
19641;Centre-Back
19741;Left-Back
19844;Central Midfield
19844;Centre-Back
19846;Centre-Back
19894;Right Midfield
20000;Defensive Midfield
20000;Left Midfield
20176;Attacking Midfield
20378;Central Midfield
20378;Right Midfield
20730;Central Midfield
20734;Left-Back
20739;Right Winger
20739;Second Striker
20806;Left-Back
20806;Right Midfield
20844;Attacking Midfield
20859;Left-Back
20904;Left Winger
20904;Left-Back
20967;Left Winger
20967;Right Winger
20969;Centre-Back
21024;Central Midfield
21033;Central Midfield
21074;Central Midfield
21074;Left Winger
21084;Right-Back
21094;Central Midfield
21094;Left Winger
21116;Left Midfield
21156;Left Midfield
21184;Right-Back
21188;Left-Back
21227;Left-Back
21230;Attacking Midfield
21230;Defensive Midfield
21409;Attacking Midfield
21409;Left Midfield
21480;Left Midfield
21645;Central Midfield
21645;Left Midfield
21661;Centre-Back
21685;Attacking Midfield
21697;Right-Back
21701;Central Midfield
21756;Centre-Back
21756;Defensive Midfield
21788;Central Midfield
21788;Right Midfield
21792;Left-Back
21792;Right Midfield
21799;Central Midfield
21799;Left Midfield
21826;Left-Back
21861;Left Winger
21861;Right Winger
21888;Left-Back
21955;Central Midfield
21955;Left Midfield
21986;Defensive Midfield
22057;Central Midfield
22082;Right Midfield
22095;Right-Back
22099;Right-Back
22122;Attacking Midfield
22122;Defensive Midfield
22176;Central Midfield
22176;Right-Back
22209;Left-Back
22218;Right Winger
22218;Second Striker
22235;Defensive Midfield
22249;Centre-Back
22249;Right-Back
22275;Second Striker
22455;Left Winger
22455;Second Striker
22466;Left Midfield
22485;Right-Back
